name,rating,num_of_ratings,price,size,resolution,refresh_rate
"HP V24 24 Inch FHD LED-Backlit LCD 2-Pack Monitor Bundle with HDMI, Dual Monitor Stand, FreeSync, MK270 Wireless Keyboard and Mouse Combo, Gel Pad",4.3 out of 5 stars,21,"499,.",24 inches,FHD 1080p,75 hertz
,,,,,,
"HP V24 24 Inch FHD LED-Backlit LCD 2-Pack Monitor Bundle with HDMI, Dual Monitor Stand, FreeSync, MK270 Wireless Keyboard and Mouse Combo, Gel Pad",4.3 out of 5 stars,21,"499,.",24 inches,FHD 1080p,75 hertz
,,,"499,.",,,
,,,,24 inches,FHD 1080p,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dell S2721HS Full HD 1920 x 1080p, 75Hz IPS LED LCD Thin Bezel Adjustable Gaming Monitor, 4ms Grey-to-Grey Response Time, 16.7 Million Colors, HDMI ports, AMD FreeSync, Platinum Silver",4.7 out of 5 stars,41,"224,.",27 inches,FHD 1080p,75 hertz
,,,,,,
"Dell S2721HS Full HD 1920 x 1080p, 75Hz IPS LED LCD Thin Bezel Adjustable Gaming Monitor, 4ms Grey-to-Grey Response Time, 16.7 Million Colors, HDMI ports, AMD FreeSync, Platinum Silver",4.7 out of 5 stars,41,"224,.",27 inches,FHD 1080p,75 hertz
,,,"224,.",,,
,,,,27 inches,FHD 1080p,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
HP M27ha FHD Monitor-Full HD Monitor(1920 x 1080p)- IPS Panel and Built-in Audio-VESA Compatible 27-inch Monitor Designed for Comfortable Viewing with Height and Pivot Adjustment-(22H94AA#ABA) black,4.7 out of 5 stars,"3,350","176,.",27 inches,FHD 1080p,60 hertz
,,,,,,
HP M27ha FHD Monitor-Full HD Monitor(1920 x 1080p)- IPS Panel and Built-in Audio-VESA Compatible 27-inch Monitor Designed for Comfortable Viewing with Height and Pivot Adjustment-(22H94AA#ABA) black,4.7 out of 5 stars,"3,350","176,.",27 inches,FHD 1080p,60 hertz
,,,"176,.",,,
,,,,27 inches,FHD 1080p,60 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"LG 34WN650-W UltraWide Monitor 34"" 21:9 FHD (2560 x 1080) IPS Display, VESA DisplayHDR 400, AMD FreeSync, 3-Side Virtually Borderless Design - Silver",4.7 out of 5 stars,624,"349,.",34 inches,FHD 1080p Ultra Wide,75 hertz
,,,,,,
"LG 34WN650-W UltraWide Monitor 34"" 21:9 FHD (2560 x 1080) IPS Display, VESA DisplayHDR 400, AMD FreeSync, 3-Side Virtually Borderless Design - Silver",4.7 out of 5 stars,624,"349,.",34 inches,FHD 1080p Ultra Wide,75 hertz
,,,"349,.",,,
,,,,34 inches,FHD 1080p Ultra Wide,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
